StartPerHour,10st,20st,30st,40st,50st,60st,70st,80st,90st,100st
48,SKKT58,SKKT58,SKKT57,SKKT57,SKKT57,SKKT107,SKKT107,SKKT107,MTC70,MTC70
52,SKKT57,MTC70,MTC70,SKKT107,SKKT107,SKKT107,SKKT107,MTC70,MTC70,MTC70
74,MTC70,SKKT107,SKKT107,SKKT92,SKKT92,MTC90,SKKT215,SKKT215,SKKT215,MTC135
82,SKKT92,MTC90,MTC90,MTC135,MTC135,SKKT215,SKKT215,SKKT215,MTC135,MTC135
84,MTC90,MTC135,MTC135,MTC135,MTC135,SKKT215,SKKT215,SKKT215,MTC135,MTC135
88,SKKT107,MTC135,MTC135,MTC135,MTC135,SKKT215,SKKT215,MTC135,MTC135,MTC135
131,MTC135,SKKT215,SKKT215,SKKT172,SKKT172,SKKT172,SKKT172,MTC182,MTC182,MTC182
175,SKKT215,MTC182,MTC182,MTC300,MTC300,MTC300,MTC300,MTC300,MTC300,SKKT330
177,MTC160,MTC182,MTC182,MTC300,MTC300,MTC300,MTC300,MTC300,MTC300,SKKT330
195,MTC182,MTC300,MTC300,MTC300,MTC300,MTC300,MTC300,MTC300,IXYS N1263JK160,IXYS N1263JK160
315,SKKT330,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,Y38K-10-16,Y38K-10-16,T830N16
318,MTC300,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,IXYS N1263JK160,Y38K-10-16,T830N16,T830N16
492,IXYS N1263JK160,Y38K-10-16,T830N16,T830N16,T830N16,T940,T940,T940,,
570,Y38K-10-16,T830N16,T830N16,T940,T940,T940,,,,
672,T830N16,T940,T940,,,,,,,
753,T940,,,,,,,,,
