StartPerHour,10st,20st,30st,40st,50st,60st,70st,80st,90st,100st
SKKT58,48,48,47,47,46,44,43,42,41,39
SKKT57,52,51,51,50,49,47,46,45,44,42
MTC70,74,73,71,69,66,64,61,59,56,54
SKKT107,88,80,74,68,63,58,54,50,47,44
SKKT92,82,81,79,77,74,71,69,66,63,60
MTC90,84,83,82,80,77,75,73,70,68,65
MTC135,131,126,121,117,112,108,103,99,95,91
SKKT215,175,155,139,125,113,103,94,86,79,73
SKKT172,177,169,161,154,147,140,133,127,121,115
MTC160,177,170,163,157,150,143,137,130,124,118
MTC182,195,188,181,174,167,160,153,146,140,133
MTC300,318,293,271,252,235,221,209,199,190,183
SKKT330,315,295,277,260,245,230,216,204,192,182
IXYS N1263JK160,492,455,421,391,364,340,319,301,285,271
Y38K-10-16,570,520,477,439,406,378,355,334,317,302
T830N16,672,624,579,539,503,469,438,409,381,356
T940,753,716,680,644,611,579,549,519,491,464
