Model Name,10,20,30,40,50,60,70,80,90,100
S711-025/S711-032,58.2,58,57.5,56.9,56.3,55.5,54.8,54,53.2,52.5
S711-047,97.4,96.8,95.3,93.6,91.7,89.8,87.8,85.8,83.9,81.9
S711-062/S711-088,140.5,137.6,134.8,132,129.3,126.6,124.1,121.8,119.5,117.5
S711-131,209.4,194.1,180.7,169,158.7,149.7,142,135.2,129.4,124.3
S711-075/S711-115,192.2,188.1,183.9,179.7,175.6,171.4,167.3,163.3,159.5,155.8
S711-210,352.3,337.2,325,315.5,308.2,302.2,297.4,293.2,289.6,286.4
S711-560,564.2,539.2,517.1,498.7,483.8,471.7,461.7,453.4,446.2,440
S711-410,657,622.5,593,569.5,550.8,536,524,514.3,506,499
S711-480,801.7,765.2,731,699.3,669.5,641.8,616.1,592.6,570.9,551
